# group, type, basis, action, comment

direct_list, AGENT, *%E4%BA%AC%E4%B8%9C*, DIRECT, jd
direct_list, AGENT, *%E6%89%8B%E6%9C%BA%E6%B7%98%E5%AE%9D*, DIRECT, ali
direct_list, AGENT, *%E9%97%B2%E9%B1%BC*, DIRECT, ali
direct_list, AGENT, *MovieApp*, DIRECT, ali
direct_list, AGENT, *AliApp*, DIRECT, ali
direct_list, AGENT, *TBIOS*, DIRECT, ali
direct_list, AGENT, *高德地图*, DIRECT, ali
direct_list, AGENT, *%E5%A4%A7%E4%BC%97%E7%82%B9%E8%AF%84*, DIRECT, ali
direct_list, AGENT, *dianping*, DIRECT, ali
direct_list, AGENT, *MTOPSDK*, DIRECT, ali
direct_list, AGENT, *waimai*, DIRECT, meituan
direct_list, AGENT, *meituan*, DIRECT, meituan
direct_list, AGENT, *eleme*, DIRECT, eleme
direct_list, AGENT, *SensorsAnalytics*, DIRECT, chelaile
direct_list, AGENT, *lite*, DIRECT, chelaile
direct_list, KEYWORD, getyouchat, DIRECT, No_comment
direct_list, KEYWORD, amazonaws, DIRECT, No_comment
direct_list, KEYWORD, apple, DIRECT, apple
direct_list, KEYWORD, itunes, DIRECT, apple
direct_list, KEYWORD, icloud, DIRECT, apple
direct_list, KEYWORD, mwcname, DIRECT, apple
direct_list, KEYWORD, aaplimg, DIRECT, apple
direct_list, KEYWORD, akadns, DIRECT, apple
direct_list, KEYWORD, edgekey, DIRECT, apple
direct_list, KEYWORD, mzstatic, DIRECT, apple
direct_list, SUFFIX, me.com, DIRECT, apple
direct_list, SUFFIX, microsoft.com, DIRECT, microsoft
direct_list, SUFFIX, teamviewer.com, DIRECT, Teamviewer
proxy_list, HOST, gist.github.com, us_proxy, No_comment
proxy_list, HOST, api.adthor.com, AUTO, unc0ver
proxy_list, AGENT, *Undecimus*, AUTO, unc0ver
proxy_list, AGENT, *Kindle*, jp_proxy, Kindle
proxy_list, AGENT, *PixivIOSApp*, jp_proxy, pixiv
proxy_list, AGENT, *Translate*, AUTO, google_translate
proxy_list, AGENT, *GoogleTranslate*, AUTO, google_translate
proxy_list, AGENT, *Twitter*, AUTO, twitter_app
proxy_list, AGENT, *Steam*, AUTO, steam
proxy_list, AGENT, *LINE*, AUTO, Line
proxy_list, AGENT, *Telegram*, AUTO, telegram
proxy_list, AGENT, *BOOKWALKER*, AUTO, BOOKWALKER
proxy_list, AGENT, *Telesphoreo*, AUTO, cydia
proxy_list, AGENT, *Cydia*, AUTO, cydia
proxy_list, AGENT, *Type*, AUTO, markdown_app
